,document,subject,relation,object
340,"And resounding with the notes of
thousands of trumpets, it was scented with black aloes and sprinkled all
over with water mixed with sandal-paste and decorated with garlands of
flowers.",it,sprinkled all over with,water mixed with sandal paste
341,"And resounding with the notes of
thousands of trumpets, it was scented with black aloes and sprinkled all
over with water mixed with sandal-paste and decorated with garlands of
flowers.",it,was,resounding with notes scented with black aloes
342,"And resounding with the notes of
thousands of trumpets, it was scented with black aloes and sprinkled all
over with water mixed with sandal-paste and decorated with garlands of
flowers.",it,sprinkled over with,water
343,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,was surrounded with,high mansions white
344,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,was,surrounded
345,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,was surrounded with,mansions
346,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,resembling,kissing peaks
347,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,was surrounded with,high mansions perfectly white
348,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,resembling,peaks of Kailasa
349,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,resembling,kissing peaks of Kailasa
350,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,was surrounded with,high mansions
351,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,resembling,peaks
352,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,resembling,cloud kissing peaks
353,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,resembling,cloud kissing peaks of Kailasa
354,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,was surrounded with,mansions white
355,"It was surrounded with high mansions perfectly white and
resembling the cloud-kissing peaks of Kailasa.",It,was surrounded with,mansions perfectly white
356,"The windows of those
mansions were covered with net works of gold; the walls were set with
diamonds and precious costly carpets and cloths.",windows,were covered with,net works
357,"The windows of those
mansions were covered with net works of gold; the walls were set with
diamonds and precious costly carpets and cloths.",windows,were,covered
358,"The windows of those
mansions were covered with net works of gold; the walls were set with
diamonds and precious costly carpets and cloths.",walls,were,set
359,"The windows of those
mansions were covered with net works of gold; the walls were set with
diamonds and precious costly carpets and cloths.",walls,were set with,diamonds
360,"The windows of those
mansions were covered with net works of gold; the walls were set with
diamonds and precious costly carpets and cloths.",windows,were covered with,works
361,"The windows of those
mansions were covered with net works of gold; the walls were set with
diamonds and precious costly carpets and cloths.",windows,were covered with,works of gold
362,"The windows of those
mansions were covered with net works of gold; the walls were set with
diamonds and precious costly carpets and cloths.",windows,were covered with,net works of gold
363,"All those mansions
adorned with wreaths and garlands of flowers and rendered fragrant with
excellent aloes, were all white and spotless, like unto the necks of
swans.",mansions,rendered,fragrant
364,"All those mansions
adorned with wreaths and garlands of flowers and rendered fragrant with
excellent aloes, were all white and spotless, like unto the necks of
swans.",mansions,adorned with,wreaths
365,"All those mansions
adorned with wreaths and garlands of flowers and rendered fragrant with
excellent aloes, were all white and spotless, like unto the necks of
swans.",mansions,rendered with,excellent aloes
366,"All those mansions
adorned with wreaths and garlands of flowers and rendered fragrant with
excellent aloes, were all white and spotless, like unto the necks of
swans.",mansions,rendered with,aloes
367,"All those mansions
adorned with wreaths and garlands of flowers and rendered fragrant with
excellent aloes, were all white and spotless, like unto the necks of
swans.",mansions,adorned with,wreaths of flowers
368,"And the fragrance therefrom could be perceived from the distance
of a Yojana (eight miles).",fragrance therefrom,could,could perceived from distance of Yojana
369,"And the fragrance therefrom could be perceived from the distance
of a Yojana (eight miles).",fragrance therefrom,could,could perceived
370,"And the fragrance therefrom could be perceived from the distance
of a Yojana (eight miles).",fragrance therefrom,could,could perceived from distance
371,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,were,furnished
372,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,were adorned with,beds
373,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,were,adorned
374,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,resembled,peaks of Himavat
375,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,were adorned with,costly beds
376,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,peaks of,Himavat
377,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,beautified with,various metals
378,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,beautified with,metals
379,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,were furnished with,hundred doors admit
380,"And they were each furnished with a hundred
doors wide enough to admit a crowd of persons; they were adorned with
costly beds and carpets, and beautified with various metals; they
resembled the peaks of the Himavat.",they,resembled,peaks
381,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",sovereigns,were adorned with,paste
382,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",sovereigns,were,adorned
383,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",sovereigns,were adorned with,paste of black aloe
384,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",exalted sovereigns,were adorned with,paste of black aloe
385,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",exalted sovereigns,were,adorned
386,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",sovereigns,were adorned with,fragrant paste of aloe
387,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",sovereigns,were adorned with,paste of aloe
388,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",exalted sovereigns,were adorned with,fragrant paste of black aloe
389,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",exalted sovereigns,were adorned with,paste of aloe
390,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",sovereigns,were adorned with,fragrant paste
391,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",exalted sovereigns,were adorned with,fragrant paste of aloe
392,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",exalted sovereigns,were adorned with,fragrant paste
393,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",exalted sovereigns,were adorned with,paste
394,"And those
exalted sovereigns were all adorned with the fragrant paste of the black
aloe.",sovereigns,were adorned with,fragrant paste of black aloe
395,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,protected against,foes
396,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were all devoted Of,great liberality
397,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were devoted to,Brahma
398,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were all devoted Of,liberality
399,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were,all devoted
400,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were,devoted
401,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were devoted Of,great liberality
402,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were,Of liberality all devoted to Brahma
403,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were,Of great liberality all devoted to Brahma
404,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were all devoted to,Brahma
405,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were devoted Of,liberality
406,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were,Of liberality devoted to Brahma
407,"Of great liberality, they were all devoted to Brahma and they
protected their kingdoms against all foes.",they,were,Of great liberality devoted to Brahma
408,"And for their own good deeds
they were loved by the whole world.",they,were,for their own deeds loved by whole world
409,"And for their own good deeds
they were loved by the whole world.",they,were,for their deeds loved by world
410,"And for their own good deeds
they were loved by the whole world.",they,were,for their own good deeds loved by whole world
411,"And for their own good deeds
they were loved by the whole world.",they,were loved by,whole world
412,"And for their own good deeds
they were loved by the whole world.",they,were,for their good deeds loved by world
413,"And for their own good deeds
they were loved by the whole world.",they,were,for their own deeds loved by world
414,"And for their own good deeds
they were loved by the whole world.",they,were,for their own good deeds loved by world
415,"And for their own good deeds
they were loved by the whole world.",they,were,for their deeds loved by whole world
416,"And for their own good deeds
they were loved by the whole world.",they,were,for their good deeds loved by whole world
417,"And for their own good deeds
they were loved by the whole world.",they,were loved by,world
418,"""The Pandavas, too, entering that amphitheatre, sat with the Brahmanas
and beheld the unequalled affluence of the king of the Panchalas.",amphitheatre,beheld,unequalled affluence
419,"""The Pandavas, too, entering that amphitheatre, sat with the Brahmanas
and beheld the unequalled affluence of the king of the Panchalas.",amphitheatre,beheld,unequalled affluence of king of Panchalas
420,"""The Pandavas, too, entering that amphitheatre, sat with the Brahmanas
and beheld the unequalled affluence of the king of the Panchalas.",amphitheatre,sat with,Brahmanas
421,"""The Pandavas, too, entering that amphitheatre, sat with the Brahmanas
and beheld the unequalled affluence of the king of the Panchalas.",amphitheatre,beheld,affluence of king
422,"""The Pandavas, too, entering that amphitheatre, sat with the Brahmanas
and beheld the unequalled affluence of the king of the Panchalas.",amphitheatre,beheld,unequalled affluence of king
423,"""The Pandavas, too, entering that amphitheatre, sat with the Brahmanas
and beheld the unequalled affluence of the king of the Panchalas.",amphitheatre,beheld,affluence of king of Panchalas
424,"""The Pandavas, too, entering that amphitheatre, sat with the Brahmanas
and beheld the unequalled affluence of the king of the Panchalas.",amphitheatre,beheld,affluence
425,"And
that concourse of princes, Brahmanas, and others, looking gay at the
performances of actors and dancers (large presents of every kind of
wealth being constantly made), began to swell day by day.",concourse,swell at_time,day by day
426,"And
that concourse of princes, Brahmanas, and others, looking gay at the
performances of actors and dancers (large presents of every kind of
wealth being constantly made), began to swell day by day.",concourse,began,swell day
427,"And
that concourse of princes, Brahmanas, and others, looking gay at the
performances of actors and dancers (large presents of every kind of
wealth being constantly made), began to swell day by day.",concourse,swell at_time,day
428,"And
that concourse of princes, Brahmanas, and others, looking gay at the
performances of actors and dancers (large presents of every kind of
wealth being constantly made), began to swell day by day.",performances,at gay is,large presents of kind of wealth constantly made
429,"And
that concourse of princes, Brahmanas, and others, looking gay at the
performances of actors and dancers (large presents of every kind of
wealth being constantly made), began to swell day by day.",looking gay,presents of,kind
430,"And it lasted,
O king, several days, till on the sixteenth day when it was at its full,
the daughter of Drupada, O thou bull of the Bharata race, having washed
herself clean entered the amphitheatre, richly attired and adorned with
every ornament and bearing in her hand a dish of gold (whereon were the
usual offerings of Arghya) and a garland of flowers.",it,was at,when its full
431,"And it lasted,
O king, several days, till on the sixteenth day when it was at its full,
the daughter of Drupada, O thou bull of the Bharata race, having washed
herself clean entered the amphitheatre, richly attired and adorned with
every ornament and bearing in her hand a dish of gold (whereon were the
usual offerings of Arghya) and a garland of flowers.",daughter,bull of,Bharata race
432,"And it lasted,
O king, several days, till on the sixteenth day when it was at its full,
the daughter of Drupada, O thou bull of the Bharata race, having washed
herself clean entered the amphitheatre, richly attired and adorned with
every ornament and bearing in her hand a dish of gold (whereon were the
usual offerings of Arghya) and a garland of flowers.",it,was at,its full
433,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",priest,poured on,it
434,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",priest,poured with,due rites libations of butter
435,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",priest,ignited,fire
436,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",priest,poured with,rites libations of butter
437,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",priest,poured with,rites libations
438,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",priest,poured with,rites libations of clarified butter
439,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",holy Brahmana conversant,is with,mantras
440,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",priest,poured with,due rites libations of clarified butter
441,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",priest,ignited,sacrificial fire
442,"Then the priest of
the lunar race--a holy Brahmana conversant with all mantras--ignited the
sacrificial fire and poured on it with due rites libations of clarified
butter.",priest,poured with,due rites libations
443,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",Brahmanas,auspicious formula of,benediction
444,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",gratifying Agni,stopped,instruments
445,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",making,stopped,instruments
446,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",Brahmanas,utter,auspicious formula
447,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",Agni,stopped,instruments
448,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",making,stopped,musical instruments
449,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",gratifying Agni,stopped,musical instruments
450,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",Agni,stopped,musical instruments
451,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",Brahmanas,utter,formula
452,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",Brahmanas,utter,auspicious formula of benediction
453,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",Brahmanas,formula of,benediction
454,"And gratifying Agni by these libations and making the Brahmanas
utter the auspicious formula of benediction, stopped the musical
instruments that were playing all around.",Brahmanas,utter,formula of benediction
455,"And when that vast
amphitheatre, O monarch, became perfectly still, Dhrishtadyumna possessed
of a voice deep as the sound of the kettledrum or the clouds, taking hold
of his sister's arm, stood in the midst of that concourse, and said, with
a voice loud and deep as the roar of the clouds, these charming words of
excellent import, 'Hear ye assembled kings, this is the bow, that is the
mark, and these are the arrows.",Dhrishtadyumna,possessed of,voice
456,"And when that vast
amphitheatre, O monarch, became perfectly still, Dhrishtadyumna possessed
of a voice deep as the sound of the kettledrum or the clouds, taking hold
of his sister's arm, stood in the midst of that concourse, and said, with
a voice loud and deep as the roar of the clouds, these charming words of
excellent import, 'Hear ye assembled kings, this is the bow, that is the
mark, and these are the arrows.",Dhrishtadyumna,possessed of,voice deep as sound of kettledrum
457,"And when that vast
amphitheatre, O monarch, became perfectly still, Dhrishtadyumna possessed
of a voice deep as the sound of the kettledrum or the clouds, taking hold
of his sister's arm, stood in the midst of that concourse, and said, with
a voice loud and deep as the roar of the clouds, these charming words of
excellent import, 'Hear ye assembled kings, this is the bow, that is the
mark, and these are the arrows.",Dhrishtadyumna,possessed of,voice as sound
458,"And when that vast
amphitheatre, O monarch, became perfectly still, Dhrishtadyumna possessed
of a voice deep as the sound of the kettledrum or the clouds, taking hold
of his sister's arm, stood in the midst of that concourse, and said, with
a voice loud and deep as the roar of the clouds, these charming words of
excellent import, 'Hear ye assembled kings, this is the bow, that is the
mark, and these are the arrows.",sister,of,arm
459,"And when that vast
amphitheatre, O monarch, became perfectly still, Dhrishtadyumna possessed
of a voice deep as the sound of the kettledrum or the clouds, taking hold
of his sister's arm, stood in the midst of that concourse, and said, with
a voice loud and deep as the roar of the clouds, these charming words of
excellent import, 'Hear ye assembled kings, this is the bow, that is the
mark, and these are the arrows.",Dhrishtadyumna,possessed of,voice deep as sound
460,"And when that vast
amphitheatre, O monarch, became perfectly still, Dhrishtadyumna possessed
of a voice deep as the sound of the kettledrum or the clouds, taking hold
of his sister's arm, stood in the midst of that concourse, and said, with
a voice loud and deep as the roar of the clouds, these charming words of
excellent import, 'Hear ye assembled kings, this is the bow, that is the
mark, and these are the arrows.",Dhrishtadyumna,possessed of,voice as sound of kettledrum
461,"Shoot the mark through the orifice of the
machine with these five sharpened arrows.",five,sharpened,arrows
462,"Truly do I say that, possessed
of lineage, beauty of persons, and strength whoever achieveth this great
feat shall obtain today this my sister, Krishna for his wife.'",my,sister,Krishna
463,"Truly do I say that, possessed
of lineage, beauty of persons, and strength whoever achieveth this great
feat shall obtain today this my sister, Krishna for his wife.'",his wife,for sister is,Krishna
464,"Having
thus spoken unto the assembled monarchs Drupada's son then addressed his
sister, reciting unto her the names and lineages and achievements of
those assembled lords of the earth.'""",Drupada 's son,addressed unto,assembled monarchs
465,"Having
thus spoken unto the assembled monarchs Drupada's son then addressed his
sister, reciting unto her the names and lineages and achievements of
those assembled lords of the earth.'""",Drupada,has,son
466,"Having
thus spoken unto the assembled monarchs Drupada's son then addressed his
sister, reciting unto her the names and lineages and achievements of
those assembled lords of the earth.'""",Drupada 's son,addressed unto,monarchs
467,"Vrihanta, Manimana, Dandadhara,
Sahadeva, Jayatsena, Meghasandhi, Virata with his two sons Sankha and
Uttara, Vardhakshemi, Susarma, Senavindu, Suketu with his two sons Sunama
and Suvarcha, Suchitra, Sukumara, Vrika, Satyadhriti, Suryadhwaja,
Rochamana, Nila, Chitrayudha, Agsuman, Chekitana, the mighty Sreniman,
Chandrasena the mighty son of Samudrasena, Jarasandha, Vidanda, and
Danda--the father and son, Paundraka, Vasudeva, Bhagadatta endued with
great energy, Kalinga, Tamralipta, the king of Pattana, the mighty
car-warrior Salya, the king of Madra, with his son, the heroic
Rukmangada, Rukmaratha, Somadatta of the Kuru race with his three sons,
all mighty chariot-fighters and heroes, viz., Bhuri, Bhurisrava, and
Sala, Sudakshina, Kamvoja of the Puru race, Vrihadvala, Sushena, Sivi,
the son of Usinara, Patcharanihanta, the king of Karusha, Sankarshana
(Valadeva), Vasudeva (Krishna) the mighty son of Rukmini, Samva,
Charudeshna, the son of Pradyumna with Gada, Akrura, Satyaki, the
high-souled Uddhava, Kritavarman, the son of Hridika, Prithu, Viprithu,
Viduratha, Kanka, Sanku with Gaveshana, Asavaha, Aniruddha, Samika,
Sarimejaya, the heroic Vatapi Jhilli Pindaraka, the powerful Usinara, all
these of the Vrishni race, Bhagiratha, Vrihatkshatra, Jayadratha the son
of Sindhu, Vrihadratha, Valhika, the mighty charioteer Srutayu, Uluka,
Kaitava, Chitrangada and Suvangada, the highly intelligent Vatsaraja, the
king of Kosala, Sisupala and the powerful Jarasandha, these and many
other great kings--all Kshatriyas celebrated throughout the world--have
come, O blessed one, for thee.",his,sons,mighty chariot fighters
468,"Vrihanta, Manimana, Dandadhara,
Sahadeva, Jayatsena, Meghasandhi, Virata with his two sons Sankha and
Uttara, Vardhakshemi, Susarma, Senavindu, Suketu with his two sons Sunama
and Suvarcha, Suchitra, Sukumara, Vrika, Satyadhriti, Suryadhwaja,
Rochamana, Nila, Chitrayudha, Agsuman, Chekitana, the mighty Sreniman,
Chandrasena the mighty son of Samudrasena, Jarasandha, Vidanda, and
Danda--the father and son, Paundraka, Vasudeva, Bhagadatta endued with
great energy, Kalinga, Tamralipta, the king of Pattana, the mighty
car-warrior Salya, the king of Madra, with his son, the heroic
Rukmangada, Rukmaratha, Somadatta of the Kuru race with his three sons,
all mighty chariot-fighters and heroes, viz., Bhuri, Bhurisrava, and
Sala, Sudakshina, Kamvoja of the Puru race, Vrihadvala, Sushena, Sivi,
the son of Usinara, Patcharanihanta, the king of Karusha, Sankarshana
(Valadeva), Vasudeva (Krishna) the mighty son of Rukmini, Samva,
Charudeshna, the son of Pradyumna with Gada, Akrura, Satyaki, the
high-souled Uddhava, Kritavarman, the son of Hridika, Prithu, Viprithu,
Viduratha, Kanka, Sanku with Gaveshana, Asavaha, Aniruddha, Samika,
Sarimejaya, the heroic Vatapi Jhilli Pindaraka, the powerful Usinara, all
these of the Vrishni race, Bhagiratha, Vrihatkshatra, Jayadratha the son
of Sindhu, Vrihadratha, Valhika, the mighty charioteer Srutayu, Uluka,
Kaitava, Chitrangada and Suvangada, the highly intelligent Vatsaraja, the
king of Kosala, Sisupala and the powerful Jarasandha, these and many
other great kings--all Kshatriyas celebrated throughout the world--have
come, O blessed one, for thee.",Gaveshana,these of,Vrishni race
469,"Vrihanta, Manimana, Dandadhara,
Sahadeva, Jayatsena, Meghasandhi, Virata with his two sons Sankha and
Uttara, Vardhakshemi, Susarma, Senavindu, Suketu with his two sons Sunama
and Suvarcha, Suchitra, Sukumara, Vrika, Satyadhriti, Suryadhwaja,
Rochamana, Nila, Chitrayudha, Agsuman, Chekitana, the mighty Sreniman,
Chandrasena the mighty son of Samudrasena, Jarasandha, Vidanda, and
Danda--the father and son, Paundraka, Vasudeva, Bhagadatta endued with
great energy, Kalinga, Tamralipta, the king of Pattana, the mighty
car-warrior Salya, the king of Madra, with his son, the heroic
Rukmangada, Rukmaratha, Somadatta of the Kuru race with his three sons,
all mighty chariot-fighters and heroes, viz., Bhuri, Bhurisrava, and
Sala, Sudakshina, Kamvoja of the Puru race, Vrihadvala, Sushena, Sivi,
the son of Usinara, Patcharanihanta, the king of Karusha, Sankarshana
(Valadeva), Vasudeva (Krishna) the mighty son of Rukmini, Samva,
Charudeshna, the son of Pradyumna with Gada, Akrura, Satyaki, the
high-souled Uddhava, Kritavarman, the son of Hridika, Prithu, Viprithu,
Viduratha, Kanka, Sanku with Gaveshana, Asavaha, Aniruddha, Samika,
Sarimejaya, the heroic Vatapi Jhilli Pindaraka, the powerful Usinara, all
these of the Vrishni race, Bhagiratha, Vrihatkshatra, Jayadratha the son
of Sindhu, Vrihadratha, Valhika, the mighty charioteer Srutayu, Uluka,
Kaitava, Chitrangada and Suvangada, the highly intelligent Vatsaraja, the
king of Kosala, Sisupala and the powerful Jarasandha, these and many
other great kings--all Kshatriyas celebrated throughout the world--have
come, O blessed one, for thee.",energy,king of,Madra
470,"Vrihanta, Manimana, Dandadhara,
Sahadeva, Jayatsena, Meghasandhi, Virata with his two sons Sankha and
Uttara, Vardhakshemi, Susarma, Senavindu, Suketu with his two sons Sunama
and Suvarcha, Suchitra, Sukumara, Vrika, Satyadhriti, Suryadhwaja,
Rochamana, Nila, Chitrayudha, Agsuman, Chekitana, the mighty Sreniman,
Chandrasena the mighty son of Samudrasena, Jarasandha, Vidanda, and
Danda--the father and son, Paundraka, Vasudeva, Bhagadatta endued with
great energy, Kalinga, Tamralipta, the king of Pattana, the mighty
car-warrior Salya, the king of Madra, with his son, the heroic
Rukmangada, Rukmaratha, Somadatta of the Kuru race with his three sons,
all mighty chariot-fighters and heroes, viz., Bhuri, Bhurisrava, and
Sala, Sudakshina, Kamvoja of the Puru race, Vrihadvala, Sushena, Sivi,
the son of Usinara, Patcharanihanta, the king of Karusha, Sankarshana
(Valadeva), Vasudeva (Krishna) the mighty son of Rukmini, Samva,
Charudeshna, the son of Pradyumna with Gada, Akrura, Satyaki, the
high-souled Uddhava, Kritavarman, the son of Hridika, Prithu, Viprithu,
Viduratha, Kanka, Sanku with Gaveshana, Asavaha, Aniruddha, Samika,
Sarimejaya, the heroic Vatapi Jhilli Pindaraka, the powerful Usinara, all
these of the Vrishni race, Bhagiratha, Vrihatkshatra, Jayadratha the son
of Sindhu, Vrihadratha, Valhika, the mighty charioteer Srutayu, Uluka,
Kaitava, Chitrangada and Suvangada, the highly intelligent Vatsaraja, the
king of Kosala, Sisupala and the powerful Jarasandha, these and many
other great kings--all Kshatriyas celebrated throughout the world--have
come, O blessed one, for thee.",Usinara,king of,Karusha
471,"Vrihanta, Manimana, Dandadhara,
Sahadeva, Jayatsena, Meghasandhi, Virata with his two sons Sankha and
Uttara, Vardhakshemi, Susarma, Senavindu, Suketu with his two sons Sunama
and Suvarcha, Suchitra, Sukumara, Vrika, Satyadhriti, Suryadhwaja,
Rochamana, Nila, Chitrayudha, Agsuman, Chekitana, the mighty Sreniman,
Chandrasena the mighty son of Samudrasena, Jarasandha, Vidanda, and
Danda--the father and son, Paundraka, Vasudeva, Bhagadatta endued with
great energy, Kalinga, Tamralipta, the king of Pattana, the mighty
car-warrior Salya, the king of Madra, with his son, the heroic
Rukmangada, Rukmaratha, Somadatta of the Kuru race with his three sons,
all mighty chariot-fighters and heroes, viz., Bhuri, Bhurisrava, and
Sala, Sudakshina, Kamvoja of the Puru race, Vrihadvala, Sushena, Sivi,
the son of Usinara, Patcharanihanta, the king of Karusha, Sankarshana
(Valadeva), Vasudeva (Krishna) the mighty son of Rukmini, Samva,
Charudeshna, the son of Pradyumna with Gada, Akrura, Satyaki, the
high-souled Uddhava, Kritavarman, the son of Hridika, Prithu, Viprithu,
Viduratha, Kanka, Sanku with Gaveshana, Asavaha, Aniruddha, Samika,
Sarimejaya, the heroic Vatapi Jhilli Pindaraka, the powerful Usinara, all
these of the Vrishni race, Bhagiratha, Vrihatkshatra, Jayadratha the son
of Sindhu, Vrihadratha, Valhika, the mighty charioteer Srutayu, Uluka,
Kaitava, Chitrangada and Suvangada, the highly intelligent Vatsaraja, the
king of Kosala, Sisupala and the powerful Jarasandha, these and many
other great kings--all Kshatriyas celebrated throughout the world--have
come, O blessed one, for thee.",his,son,Rukmaratha
