,paras
43,"Vidura then, addressing everybody, said,--'Ye kings of Pratipa's race,
behold the great danger that ariseth from Bhimasena. Know ye for certain
that this great calamity that threatens to overtake the Bharatas hath
been sent by Destiny itself. The sons of Dhritarashtra have, indeed,
gambled disregarding every proper consideration. They are even now
disputing in this assembly about a lady (of the royal household). The
prosperity of our kingdom is at an end. Alas, the Kauravas are even now
engaged in sinful consultations. Ye Kauravas, take to your heart this
high precept that I declare. If virtue is persecuted, the whole assembly
becometh polluted. If Yudhishthira had staked her before he was himself
won, he would certainly have been regarded as her master. If, however a
person staketh anything at a time when he himself is incapable of holding
any wealth, to win it is very like obtaining wealth in a dream. Listening
to the words of the king of Gandhara, fall ye not off from this undoubted
truth.'"
44,"""Duryodhana, hearing Vidura thus speak, said,--'I am willing to abide by
the words of Bhima, of Arjuna and of the twins. Let them say that
Yudhishthira is not their master. Yajnaseni will then be freed from her
state of bondage."""
45,"""Arjuna at this, said,--""This illustrious son of Kunti, king Yudhishthira
the just, was certainly our master before he began to play. But having
lost himself, let all the Kauravas judge whose master he could be after
that."""
46,"Vaisampayana continued,--""Just then, a jackal began to cry loudly in the
homa-chamber of king Dhritarashtra's palace. And, O king, unto the jackal
that howled so, the asses began to bray responsively. And terrible birds
also, from all sides, began to answer with their cries. And Vidura
conversant with everything and the daughter of Suvala, both understood
the meaning of those terrible sounds. And Bhishma and Drona and the
learned Gautama loudly cried,--Swashti! Swashti![1] Then Gandhari and the
learned Vidura beholding that frightful omen, represented everything, in
great affliction, unto the king. And the king (Dhritarashtra) thereupon
said,--"
47,"'Thou wicked-minded Duryodhana, thou wretch, destruction hath all ready
overtaken thee when thou insultest in language such as this the wife of
these bulls among the Kurus, especially their wedded wife Draupadi. And
having spoken those words, the wise Dhritarashtra endued with knowledge,
reflecting with the aid of his wisdom and desirous of saving his
relatives and friends from destruction, began to console Krishna, the
princess of Panchala, and addressing her, the monarch said,--'Ask of me
any boon, O princess of Panchala, that thou desirest, Chaste and devoted
to virtue, thou art the first of all my daughters-in-law."
48,"""Draupadi said,--'O bull of the Bharata race, if thou will grant me a
boon, I ask the handsome Yudhishthira, obedient to every duty, be freed
from slavery. Let not unthinking children call my child Prativindhya
endued with great energy of mind as the son of a slave. Having been a
prince, so superior to all men, and nurtured by kings it is not proper
that he should be called the child of a slave."
49,"""Dhritarashtra said unto her,--'O auspicious one, let it be as thou
sayest. O excellent one, ask thou another boon, for I will give it. My
heart inclineth to give thee a second boon. Thou dost not deserve only
one boon."
50,"""Draupadi said,--'I ask, O king, that Bhimasena and Dhananjaya and the
twins also, with their cars and bows, freed from bondage, regain their
liberty.'"
51,"'Dhritarashtra said,--'O blessed daughter, let it be as thou desirest.
Ask thou a third boon, for thou hast not been sufficiently honoured with
two boons. Virtuous in thy behaviour, thou art the foremost of all my
daughters-in-law."
52,"Draupadi said,--'O best of kings, O illustrious one, covetousness always
bringeth about loss of virtue. I do not deserve a third boon. Therefore I
dare not ask any. O king of kings, it hath been said that a Vaisya may
ask one boon; a Kshatriya lady, two boons; a Kshatriya male, three, and a
Brahmana, a hundred. O king, these my husbands freed from the wretched
state of bondage, will be able to achieve prosperity by their own
virtuous acts!'"""
53,
54,"""Karna said,--'We have never heard of such an act (as this one of
Draupadi), performed by any of the women noted in this world for their
beauty. When the sons of both Pandu and Dhritarashtra were excited with
wrath, this Draupadi became unto the sons of Pandu as their salvation.
Indeed the princess of Panchala, becoming as a boat unto the sons of
Pandu who were sinking in a boatless ocean of distress, hath brought them
in safety to the shore.'"""
55,"Vaisampayana continued,--""Hearing these words of Karna in the midst of
the Kurus,--viz., that the sons of Pandu were saved by their wife,--the
angry Bhimasena in great affliction said (unto Arjuna),--'O Dhananjaya,
it hath been said by Devala three lights reside in every person, viz.,
offspring, acts and learning, for from these three hath sprung creation.
When life becometh extinct and the body becometh impure and is cast off
by relatives, these three become of service to every person. But the
light that is in us hath been dimmed by this act of insult to our wife.
How, O Arjuna, can a son born from this insulted wife of ours prove
serviceable to us?"
56,"""Arjuna replied,--'Superior persons, O Bharata, never prate about the
harsh words that may or may not be uttered by inferior men. Persons that
have earned respect for themselves, even if they are able to retaliate,
remember not the acts of hostility done by their enemies, but, on the
other hand, treasure up only their good deeds.'"
57,"'Bhima said,--'Shall I, O king, slay, without loss of time all these foes
assembled together, even here, or shall I destroy them, O Bharata, by the
roots, outside this palace? Or, what need is there of words or of
command? I shall slay all these even now, and rule thou the whole earth,
O king, without a rival. And saying this, Bhima with his younger
brothers, like a lion in the midst of a herd of inferior animals,
repeatedly cast his angry glances around. But Arjuna, however, of white
deeds, with appealing looks began to pacify his elder brother. And the
mighty-armed hero endued with great prowess began to burn with the fire
of his wrath. And, O king, this fire began to issue out of Vrikodara's
ears and other senses with smoke and sparks and flames. And his face
became terrible to behold in consequence of his furrowed brows like those
of Yama himself at the time of the universal destruction. Then
Yudhishthira forbade the mighty hero, embracing him with his arms and
telling him 'Be not so. Stay in silence and peace.' And having pacified
the mighty-armed one with eyes red in wrath, the king approached his
uncle Dhritarashtra, with hands joined in entreaty."""
58,
59,"""Yudhishthira said,--'O king, thou art our master. Command us as to what
we shall do. O Bharata, we desire to remain always in obedience to thee."
60,"""Dhritarashtra replied.--'O Ajatasatru, blest be thou. Go thou in peace
and safety. Commanded by me, go, rule thy own kingdom with thy wealth.
And, O child, take to heart this command of an old man, this wholesome
advice that I give, and which is even a nutritive regimen. O
Yudhishthira, O child, thou knowest the subtle path of morality.
Possessed of great wisdom, thou art also humble, and thou waitest also
upon the old. Where there is intelligence, there is forbearance.
Therefore, O Bharata, follow thou counsels of peace. The axe falleth upon
wood, not upon stone. (Thou art open to advice, not Duryodhana). They are
the best of men that remember not the acts of hostility of their foes;
that behold only the merits, not the faults, of their enemies; and that
never enter into hostilities themselves. They that are good remember only
the good deeds of their foes and not the hostile acts their foes might
have done unto them. The good, besides, do good unto others without
expectation of any good, in return. O Yudhishthira, it is only the worst
of men that utter harsh words in quarrelling; while they that are
indifferent reply to such when spoken by others. But they that are good
and wise never think of or recapitulate such harsh words, little caring
whether these may or may not have been uttered by their foes. They that
are good, having regard to the state of their own feelings, can
understand the feelings of others, and therefore remember only the good
deeds and not the acts of hostility of their foes. Thou hast acted even
as good men of prepossessing countenance do, who transgress not the
limits of virtue, wealth, pleasure and salvation. O child, remember not
the harsh words of Duryodhana. Look at thy mother Gandhari and myself
also, if thou desirest to remember only what is good. O Bharata, look at
me, who am thy father unto you and am old and blind, and still alive. It
was for seeing our friends and examining also the strength and weakness
of my children, that I had, from motives of policy, suffered this match
at dice to proceed. O king those amongst the Kurus that have thee for
their ruler, and the intelligent Vidura conversant with every branch of
learning for their counsellor, have, indeed, nothing to grieve for. In
thee is virtue, in Arjuna is patience, in Bhimasena is prowess, and the
twins, those foremost of men, is pure reverence for superiors. Blest be
thou, O Ajatasatru. Return to Khandavaprastha, and let there be brotherly
love between thee and thy cousins. Let thy heart also be ever fixed on
virtue.'"""
61,"Vaisampayana continued,--""That foremost of the Bharatas--king
Yudhishthira the just--then, thus addressed by his uncle, having gone
through every ceremony of politeness, set out with his brothers for
Khandavaprastha. And accompanied by Draupadi and ascending their cars
which were all of the hue of the clouds, with cheerful hearts they all
set out for that best of cities called Indraprastha."""
62,
